MBCA-LAN28-S1#show cdp neighbors
Capability Codes: R - Router, T - Trans Bridge, B - Source Route Bridge
                  S - Switch, H - Host, I - IGMP, r - Repeater, P - Phone, 
                  D - Remote, C - CVTA, M - Two-port Mac Relay 

Device ID        Local Intrfce     Holdtme    Capability  Platform  Port ID
SEP0CD5D39E5274  Gig 1/0/15        169             H P M  IP Phone  Port 1
SEPD0EC358415F7  Gig 8/0/32        158             H P M  IP Phone  Port 1
SEP001BD52CFBC9  Gig 4/0/21        146             H P M  IP Phone  Port 1
SEP00CCFCA69FDD  Gig 2/0/41        121             H P M  IP Phone  Port 1
SEP9C57ADB4A2A4  Gig 1/0/26        121             H P M  IP Phone  Port 1
SEP00727827ADBB  Gig 9/0/46        168             H P M  IP Phone  Port 1
SEP488B0A2EC584  Gig 4/0/23        151             H P M  IP Phone  Port 1
SEP0CD5D39E5677  Gig 7/0/5         121             H P M  IP Phone  Port 1
SEPD0EC3584106E  Gig 7/0/39        142             H P M  IP Phone  Port 1
SEP001BD52CF906  Gig 3/0/44        138             H P M  IP Phone  Port 1
SEPD867D9A08A20  Gig 9/0/16        140             H P M  IP Phone  Port 1
SEP3820560D1A73  Gig 7/0/6         124             H P M  IP Phone  Port 1
SEP0038DFA21A45  Gig 4/0/25        162             H P M  IP Phone  Port 1
SEP00727827B0D2  Gig 4/0/4         163             H P M  IP Phone  Port 1
SEPD0EC3584107E  Gig 4/0/37        141             H P M  IP Phone  Port 1
SEPD867D9A080A0  Gig 9/0/1         124             H P M  IP Phone  Port 1
SEP70F35AD2B8CA  Gig 8/0/42        173             H P M  IP Phone  Port 1
SEP001DA21988EB  Gig 2/0/44        173             H P M  IP Phone  Port 1
SEP44881649F01D  Gig 1/0/27        125             H P M  IP Phone  Port 1
SEP0059DC5ADDD2  Gig 2/0/17        137             H P M  IP Phone  Port 1
MBCA-MGMT-D1.bca.co.id(FOC1838R29J)
                 Ten 5/0/3         159            R S I C N5K-C5672 Eth 111/1/10

Total cdp entries displayed : 167
MBCA-LAN28-S1#show interfaces trunk
MBCA-LAN28-S1#show interfaces description
Interface                      Status         Protocol Description
Vl1                            admin down     down     --
Vl1036                         admin down     down     Management
Vl1488                         up             up       28th_inside_dept1_10.21.216.0
Vl1490                         up             up       28th_inside_dept3_10.21.218.0
Gi0/0                          down           down     
Gi1/0/1                        down           down     *** to MBCA-LAN ***
Gi1/0/2                        down           down     *** to MBCA-LAN ***
Gi1/0/3                        up             up       *** PC Absensi KCK ***
Gi1/0/4                        up             up       *** to MBCA-LAN ***
Gi1/0/5                        up             up       *** to MBCA-LAN ***
Gi1/0/6                        up             up       *** Printer KCK ***
Gi1/0/7                        down           down     *** to MBCA-LAN ***
Gi1/0/8                        up             up       *** Printer KCK ***
Gi1/0/9                        up             up       *** to MBCA-LAN ***
Gi1/0/10                       down           down     *** to MBCA-LAN ***
Gi1/0/11                       up             up       *** to MBCA-LAN ***
Gi1/0/12                       up             up       *** to MBCA-LAN ***
Gi1/0/13                       down           down     *** to MBCA-LAN ***
Gi1/0/14                       up             up       *** to MBCA-LAN ***
Gi1/0/15                       up             up       *** to MBCA-LAN ***
Gi1/0/16                       up             up       *** to MBCA-LAN ***
Gi1/0/17                       down           down     *** to MBCA-LAN ***
Gi1/0/18                       up             up       *** to MBCA-LAN ***
Gi1/0/19                       down           down     *** to MBCA-LAN ***
Gi1/0/20                       down           down     *** to MBCA-LAN ***
Gi1/0/21                       down           down     *** to MBCA-LAN ***
Gi1/0/22                       up             up       *** to MBCA-LAN ***
Gi1/0/23                       down           down     *** to MBCA-LAN ***
Gi1/0/24                       up             up       *** to MBCA-LAN ***
Gi1/0/25                       up             up       *** to MBCA-LAN ***
Gi1/0/26                       up             up       *** to MBCA-LAN ***
Gi1/0/27                       up             up       *** to MBCA-LAN ***
Gi1/0/28                       down           down     *** to MBCA-LAN ***
Gi1/0/29                       up             up       *** to MBCA-LAN ***
Gi1/0/30                       down           down     *** to MBCA-LAN ***
Gi1/0/31                       up             up       *** to MBCA-LAN ***
Gi1/0/32                       up             up       *** to MBCA-LAN ***
Gi1/0/33                       up             up       *** to MBCA-LAN ***
Gi1/0/34                       up             up       *** to MBCA-LAN ***
Gi1/0/35                       up             up       *** to MBCA-LAN ***
Gi1/0/36                       up             up       *** to MBCA-LAN ***
Gi1/0/37                       up             up       *** to MBCA-LAN ***
Gi1/0/38                       up             up       *** to MBCA-LAN ***
Gi1/0/39                       up             up       *** to MBCA-LAN ***
Gi1/0/40                       up             up       *** to MBCA-LAN ***
Gi1/0/41                       up             up       *** to MBCA-LAN ***
Gi1/0/42                       up             up       *** to MBCA-LAN ***
Gi1/0/43                       down           down     *** to MBCA-LAN ***
Gi1/0/44                       down           down     *** to MBCA-LAN ***
Gi1/0/45                       up             up       *** to MBCA-LAN ***
Gi1/0/46                       up             up       *** to MBCA-LAN ***
Gi1/0/47                       up             up       *** to MBCA-LAN ***
Gi1/0/48                       down           down     *** to MBCA-LAN ***
Gi2/0/1                        up             up       *** to MBCA-LAN ***
Gi2/0/2                        up             up       *** to MBCA-LAN ***
Gi2/0/3                        up             up       *** to MBCA-LAN ***
Gi2/0/4                        up             up       *** to MBCA-LAN ***
Gi2/0/5                        up             up       *** to MBCA-LAN ***
Gi2/0/6                        up             up       *** to MBCA-LAN ***
Gi2/0/7                        up             up       *** to MBCA-LAN ***
Gi2/0/8                        up             up       *** to MBCA-LAN ***
Gi2/0/9                        down           down     *** to MBCA-LAN ***
Gi2/0/10                       up             up       *** to MBCA-LAN ***
Gi2/0/11                       down           down     *** to MBCA-LAN ***
Gi2/0/12                       up             up       *** to MBCA-LAN ***
Gi2/0/13                       up             up       *** to MBCA-LAN ***
Gi2/0/14                       down           down     *** to MBCA-LAN ***
Gi2/0/15                       down           down     *** to MBCA-LAN ***
Gi2/0/16                       down           down     *** to MBCA-LAN ***
Gi2/0/17                       up             up       *** to MBCA-LAN ***
Gi2/0/18                       up             up       *** to MBCA-LAN ***
Gi2/0/19                       down           down     *** to MBCA-LAN ***
Gi2/0/20                       up             up       *** to MBCA-LAN ***
Gi2/0/21                       up             up       *** to MBCA-LAN ***
Gi2/0/22                       up             up       *** to MBCA-LAN ***
Gi2/0/23                       down           down     *** to MBCA-LAN ***
Gi2/0/24                       up             up       *** to MBCA-LAN ***
Gi2/0/25                       down           down     *** to MBCA-LAN ***
Gi2/0/26                       down           down     *** to MBCA-LAN ***
Gi2/0/27                       down           down     *** to MBCA-LAN ***
Gi2/0/28                       down           down     *** to MBCA-LAN ***
Gi2/0/29                       down           down     *** to MBCA-LAN ***
Gi2/0/30                       down           down     *** to MBCA-LAN ***
Gi2/0/31                       up             up       *** to MBCA-LAN ***
Gi2/0/32                       down           down     *** to MBCA-LAN ***
Gi2/0/33                       up             up       *** to MBCA-LAN ***
Gi2/0/34                       down           down     *** to MBCA-LAN ***
Gi2/0/35                       up             up       *** to MBCA-LAN ***
Gi2/0/36                       up             up       *** to MBCA-LAN ***
Gi2/0/37                       up             up       *** to MBCA-LAN ***
Gi2/0/38                       up             up       *** to MBCA-LAN ***
Gi2/0/39                       up             up       *** to MBCA-LAN ***
Gi2/0/40                       up             up       *** to MBCA-LAN ***
Gi2/0/41                       up             up       *** to MBCA-LAN ***
Gi2/0/42                       up             up       *** to MBCA-LAN ***
Gi2/0/43                       up             up       *** to MBCA-LAN ***
Gi2/0/44                       up             up       *** to MBCA-LAN ***
Gi2/0/45                       down           down     *** to MBCA-LAN ***
Gi2/0/46                       down           down     *** to MBCA-LAN ***
Gi2/0/47                       up             up       *** to MBCA-LAN ***
Gi2/0/48                       up             up       *** to MBCA-LAN ***
Gi3/0/1                        down           down     *** to MBCA-LAN ***
Gi3/0/2                        down           down     *** to MBCA-LAN ***
Gi3/0/3                        down           down     *** to MBCA-LAN ***
Gi3/0/4                        down           down     *** to MBCA-LAN ***
Gi3/0/5                        up             up       *** to MBCA-LAN ***
Gi3/0/6                        down           down     *** to MBCA-LAN ***
Gi3/0/7                        up             up       *** to MBCA-LAN ***
Gi3/0/8                        up             up       *** to MBCA-LAN ***
Gi3/0/9                        up             up       *** to MBCA-LAN ***
Gi3/0/10                       up             up       *** to MBCA-LAN ***
Gi3/0/11                       up             up       *** to MBCA-LAN ***
Gi3/0/12                       up             up       *** to MBCA-LAN ***
Gi3/0/13                       down           down     *** to MBCA-LAN ***
Gi3/0/14                       up             up       *** to MBCA-LAN ***
Gi3/0/15                       up             up       *** to MBCA-LAN ***
Gi3/0/16                       up             up       *** to MBCA-LAN ***
Gi3/0/17                       up             up       *** to MBCA-LAN ***
Gi3/0/18                       up             up       *** to MBCA-LAN ***
Gi3/0/19                       down           down     *** to MBCA-LAN ***
Gi3/0/20                       down           down     *** R. Lavender ***
Gi3/0/21                       up             up       *** R. Lavender ***
Gi3/0/22                       up             up       *** to MBCA-LAN ***
Gi3/0/23                       down           down     *** to MBCA-LAN ***
Gi3/0/24                       up             up       *** to MBCA-LAN ***
Gi3/0/25                       up             up       *** to MBCA-LAN ***
Gi3/0/26                       up             up       *** to MBCA-LAN ***
Gi3/0/27                       down           down     *** to MBCA-LAN ***
Gi3/0/28                       up             up       *** to MBCA-LAN ***
Gi3/0/29                       up             up       *** to MBCA-LAN ***
Gi3/0/30                       up             up       *** to MBCA-LAN ***
Gi3/0/31                       up             up       *** to MBCA-LAN ***
Gi3/0/32                       up             up       *** to MBCA-LAN ***
Gi3/0/33                       up             up       *** to MBCA-LAN ***
Gi3/0/34                       up             up       *** to MBCA-LAN ***
Gi3/0/35                       up             up       *** to MBCA-LAN ***
Gi3/0/36                       up             up       *** to MBCA-LAN ***
Gi3/0/37                       up             up       *** to MBCA-LAN ***
Gi3/0/38                       up             up       *** to MBCA-LAN ***
Gi3/0/39                       up             up       *** to MBCA-LAN ***
Gi3/0/40                       up             up       *** to MBCA-LAN ***
Gi3/0/41                       up             up       *** to MBCA-LAN ***
Gi3/0/42                       up             up       *** to MBCA-LAN ***
Gi3/0/43                       up             up       *** to MBCA-LAN ***
Gi3/0/44                       up             up       *** to MBCA-LAN ***
Gi3/0/45                       up             up       *** to MBCA-LAN ***
Gi3/0/46                       down           down     *** to MBCA-LAN ***
Gi3/0/47                       down           down     *** to MBCA-LAN ***
Gi3/0/48                       down           down     *** to MBCA-LAN ***
Gi4/0/1                        down           down     *** to MBCA-LAN ***
Gi4/0/2                        up             up       *** to MBCA-LAN ***
Gi4/0/3                        down           down     *** to MBCA-LAN ***
Gi4/0/4                        up             up       *** to MBCA-LAN ***
Gi4/0/5                        up             up       *** to MBCA-LAN ***
Gi4/0/6                        up             up       *** to MBCA-LAN ***
Gi4/0/7                        down           down     *** to MBCA-LAN ***
Gi4/0/8                        down           down     *** to MBCA-LAN ***
Gi4/0/9                        down           down     *** to MBCA-LAN ***
Gi4/0/10                       down           down     *** to MBCA-LAN ***
Gi4/0/11                       down           down     *** to MBCA-LAN ***
Gi4/0/12                       down           down     *** to MBCA-LAN ***
Gi4/0/13                       up             up       *** to MBCA-LAN ***
Gi4/0/14                       up             up       *** to MBCA-LAN ***
Gi4/0/15                       up             up       *** to MBCA-LAN ***
Gi4/0/16                       up             up       *** to MBCA-LAN ***
Gi4/0/17                       down           down     *** to MBCA-LAN ***
Gi4/0/18                       up             up       *** to MBCA-LAN ***
Gi4/0/19                       up             up       *** to MBCA-LAN ***
Gi4/0/20                       down           down     *** to MBCA-LAN ***
Gi4/0/21                       up             up       *** to MBCA-LAN ***
Gi4/0/22                       down           down     *** to MBCA-LAN ***
Gi4/0/23                       up             up       *** to MBCA-LAN ***
Gi4/0/24                       up             up       *** to MBCA-LAN ***
Gi4/0/25                       up             up       *** to MBCA-LAN ***
Gi4/0/26                       up             up       *** to MBCA-LAN ***
Gi4/0/27                       up             up       *** to MBCA-LAN ***
Gi4/0/28                       down           down     *** to MBCA-LAN ***
Gi4/0/29                       down           down     *** to MBCA-LAN ***
Gi4/0/30                       down           down     *** to MBCA-LAN ***
Gi4/0/31                       down           down     *** to MBCA-LAN ***
Gi4/0/32                       down           down     *** to MBCA-LAN ***
Gi4/0/33                       down           down     *** to MBCA-LAN ***
Gi4/0/34                       up             up       *** to MBCA-LAN ***
Gi4/0/35                       up             up       *** to MBCA-LAN ***
Gi4/0/36                       up             up       *** to MBCA-LAN ***
Gi4/0/37                       up             up       *** to MBCA-LAN ***
Gi4/0/38                       down           down     *** to MBCA-LAN ***
Gi4/0/39                       up             up       *** to MBCA-LAN ***
Gi4/0/40                       up             up       *** to MBCA-LAN ***
Gi4/0/41                       up             up       *** to MBCA-LAN ***
Gi4/0/42                       up             up       *** to MBCA-LAN ***
Gi4/0/43                       up             up       *** to MBCA-LAN ***
Gi4/0/44                       up             up       *** to MBCA-LAN ***
Gi4/0/45                       up             up       *** to MBCA-LAN ***
Gi4/0/46                       up             up       *** to MBCA-LAN ***
Gi4/0/47                       down           down     *** to MBCA-LAN ***
Gi4/0/48                       up             up       *** to MBCA-LAN ***
Te5/0/1                        up             up       Connection To MBCA-LAN-D Te1/1/13
Te5/0/2                        down           down     
Te5/0/3                        up             up       Connection to MBCA-MGMT-S1
Te5/0/4                        down           down     
Te5/0/5                        down           down     
Te5/0/6                        down           down     
Te5/0/7                        down           down     
Te5/0/8                        down           down     
Fo5/0/9                        down           down     
Fo5/0/10                       down           down     
Ap5/0/1                        down           down     
Te6/0/1                        up             up       Connection To MBCA-LAN-D Te2/1/13
Te6/0/2                        down           down     
Te6/0/3                        down           down     
Te6/0/4                        down           down     
Te6/0/5                        down           down     
Te6/0/6                        down           down     
Te6/0/7                        down           down     
Te6/0/8                        down           down     
Fo6/0/9                        down           down     
Fo6/0/10                       down           down     
Ap6/0/1                        down           down     
Gi7/0/1                        up             up       *** to MBCA-LAN ***
Gi7/0/2                        down           down     *** to MBCA-LAN ***
Gi7/0/3                        up             up       *** to MBCA-LAN ***
Gi7/0/4                        up             up       *** to MBCA-LAN ***
Gi7/0/5                        up             up       *** to MBCA-LAN ***
Gi7/0/6                        up             up       *** to MBCA-LAN ***
Gi7/0/7                        up             up       *** to MBCA-LAN ***
Gi7/0/8                        down           down     *** to MBCA-LAN ***
Gi7/0/9                        up             up       *** to MBCA-LAN ***
Gi7/0/10                       up             up       *** to MBCA-LAN ***
Gi7/0/11                       up             up       *** to MBCA-LAN ***
Gi7/0/12                       up             up       *** to MBCA-LAN ***
Gi7/0/13                       down           down     *** to MBCA-LAN ***
Gi7/0/14                       down           down     *** to MBCA-LAN ***
Gi7/0/15                       down           down     *** to MBCA-LAN ***
Gi7/0/16                       up             up       *** to MBCA-LAN ***
Gi7/0/17                       up             up       *** to MBCA-LAN ***
Gi7/0/18                       up             up       *** to MBCA-LAN ***
Gi7/0/19                       up             up       *** to MBCA-LAN ***
Gi7/0/20                       up             up       *** to MBCA-LAN ***
Gi7/0/21                       down           down     *** to MBCA-LAN ***
Gi7/0/22                       up             up       *** to MBCA-LAN ***
Gi7/0/23                       up             up       *** to MBCA-LAN ***
Gi7/0/24                       up             up       *** to MBCA-LAN ***
Gi7/0/25                       up             up       *** to MBCA-LAN ***
Gi7/0/26                       up             up       *** to MBCA-LAN ***
Gi7/0/27                       down           down     *** to MBCA-LAN ***
Gi7/0/28                       up             up       *** to MBCA-LAN ***
Gi7/0/29                       up             up       *** to MBCA-LAN ***
Gi7/0/30                       up             up       *** to MBCA-LAN ***
Gi7/0/31                       down           down     *** to MBCA-LAN ***
Gi7/0/32                       down           down     *** to MBCA-LAN ***
Gi7/0/33                       down           down     *** to MBCA-LAN ***
Gi7/0/34                       down           down     *** to MBCA-LAN ***
Gi7/0/35                       up             up       *** to MBCA-LAN ***
Gi7/0/36                       up             up       *** to MBCA-LAN ***
Gi7/0/37                       up             up       *** to MBCA-LAN ***
Gi7/0/38                       up             up       *** to MBCA-LAN ***
Gi7/0/39                       up             up       *** to MBCA-LAN ***
Gi7/0/40                       up             up       *** to MBCA-LAN ***
Gi7/0/41                       up             up       *** to MBCA-LAN ***
Gi7/0/42                       up             up       *** to MBCA-LAN ***
